Shannon H,458-535-011*,4679 Duke Way,15/02/1958,Nurse,F  
Shannon A,1 (11) 543 535-015*,"268, avenue de l?Europe",15/05/1971,Nurse,F  
Maurice G,1 (11) 543 535-017*,"15, avenue de la Gare",15/08/1972,Manager,M  
Rafael H,1 (11) 543 535-015*,Zeiter Weg 7765,19/02/1949,Manager,M  
Luke A,786-535-013*,419 Deermeadow Way,20/11/1957,Manager,F  
Cara Z,1 (11) 543 535-011*,7280 Greendell Pl,24/01/1941,Retiree,M  
Xavier L,243-535-011*,9245 Dantley Way,14/07/1936,Retiree,M  
Shannon L,1 (11) 543 535-011*,4185 Keywood Ct.,21/03/1959,Manager,F  
Leslie M,1 (11) 543 535-011*,7941 Cristobal,18/05/1966,Labour,M  
Wyatt H,135-535-017*,9666 Northridge Ct.,18/04/1983,Labour,M  
Ana P,859-535-011*,1660 Stonyhill Circle,10/08/1984,Labour,M  
Randy S,1 (11) 543 535-014*,Ro?str 5538,15/06/1948,Manager,M  
Kyle S,1 (11) 543 535-017*,9381 Alpine Rd.,28/02/1949,Manager,M  
Trevor J,120-535-012*,4697 Yosemite Dr.,10/02/1957,Manager,F  
Katelyn H,249-535-011*,7496 Deerfield Dr.,10/09/1937,Retiree,M  
Victoria S,230-535-013*,3623 Barquentine Court,10/03/1969,Manager,M  
Megan W,918-535-018*,6898 Holiday Hills,13/08/1980,Labour,F  
Jason W,694-535-017*,6771 Bundros Court,18/10/1979,Labour,F  
Caleb P,786-535-013*,2324 Cherry Street,24/06/1957,Nurse,F  
Katrina B,1 (11) 543 535-015*,"8205, rue Malar",29/03/1949,Manager,F  
Terrence C,1 (11) 543 535-018*,6613 Thornhill Place,10/05/1984,Manager,F  
Clinton C,1 (11) 543 535-018*,7943 Cunha Ct.,10/10/1966,Labour,M  
Gilbert R,1 (11) 543 535-012*,8811 The Trees Dr.,15/03/1956,Labour,F  
Ashlee A,1 (11) 543 535-011*,8255 Highland Road,13/04/1958,Labour,F  
Daniel J,1 (11) 543 535-015*,8085 Sunnyvale Avenue,14/08/1955,Labour,F  
Sydney B,431-535-015*,9011 Tank Drive,19/05/1972,Labour,M  
Lucas E,1 (11) 543 535-015*,3663 A St.,24/05/1971,Nurse,M  
Carrie O,1 (11) 543 535-011*,1883 Cowell Rd.,23/06/1945,Retiree,M  
Johnathan V,494-535-016*,9430 Versailles Pl,13/03/1937,Retiree,M  
Olivia B,414-535-014*,3964 Stony Hill Circle,23/09/1954,Researcher,M  
Jacquelyn S,1 (11) 543 535-016*,7800 Corrinne Court,16/02/1968,Labour,M  
Sharon L,1 (11) 543 535-011*,6804 Coldwater Drive,19/09/1971,Nurse,F  
Cynthia M,1 (11) 543 535-018*,6757 Pamplona Ct.,23/11/1982,Manager,F  
Ana P,446-535-013*,3114 Arlington Way,13/06/1954,Researcher,M  
Curtis L,1 (11) 543 535-011*,1224 Shoenic,14/11/1967,Labour,M  
Frederick S,1 (11) 543 535-011*,Rotth?user Weg 636,26/12/1971,Nurse,M  
Megan S,1 (11) 543 535-011*,8192 Seagull Court,25/04/1958,Manager,F  
Deanna M,1 (11) 543 535-019*,5825 B Way,20/03/1956,Labour,M  
Sydney S,1 (11) 543 535-019*,"88, avenue de l? Union Centrale",18/09/1930,Retiree,F  
Alvin C,1 (11) 543 535-019*,7759 Azalea Avenue,21/02/1966,Labour,M  
Marc D,1 (11) 543 535-014*,6645 Sinaloa,10/04/1958,Labour,F  
Jade B,819-535-016*,8119 Northridge Ct,10/04/1941,Retiree,F  
Lauren W,717-535-016*,4785 Scott Street,28/01/1972,Labour,F  
Alyssa H,805-535-018*,5780 Conifer Terrace,10/09/1958,Nurse,M  
Dalton D,994-535-015*,8033 Danesta Dr.,10/04/1958,Nurse,F  
